Name,HoF,Yrs,WAR,WAR7,JAWS,Jpos,JAWSratio,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPSadj
Mike Napoli,No,12,26.3,22,24.2,44.2,54.75113122,1392,4572,697,1125,267,744,39,650,0.246,0.346,0.475,0.821,117
Mike Piazza,Yes,16,59.6,43.1,51.4,44.2,116.2895928,1912,6911,1048,2127,427,1335,17,759,0.308,0.377,0.545,0.922,142
Mike Schmidt,Yes,18,106.8,58.7,82.8,55.7,148.6535009,2404,8352,1506,2234,548,1595,174,1507,0.267,0.38,0.527,0.908,147
Mike Sweeney,No,16,24.8,21.8,23.3,54.2,42.98892989,1454,5188,79,1540,215,909,53,522,0.297,0.366,0.486,0.851,118
Minnie Minoso,Yes,17,50.5,39.9,45.2,53.6,84.32835821,1835,6579,1136,1963,186,1023,205,814,0.298,0.389,0.459,0.848,130
Mo Vaughn,No,12,27.2,27.1,27.1,54.2,50,1512,5532,861,1620,328,1064,30,725,0.293,0.383,0.523,0.906,132
Moe Berg,No,15,-4.4,0.4,-2,44.2,-4.524886878,663,1813,150,441,6,206,12,78,0.243,0.278,0.299,0.577,49
Moises Alou,No,17,39.9,27.7,33.8,53.6,63.05970149,1942,7037,1109,2134,332,1287,106,737,0.303,0.369,0.516,0.885,128
Muddy Ruel,No,19,18.6,16.5,17.5,44.2,39.59276018,1468,4514,494,1242,4,536,61,606,0.275,0.365,0.332,0.697,83
Mule Haas,No,12,12.5,13.1,12.8,58,22.06896552,1168,4303,706,1257,43,496,12,433,0.292,0.359,0.402,0.761,94
Nap Lajoie,Yes,21,107.4,60.3,83.9,57,147.1929825,2480,9589,1504,3243,82,1599,380,516,0.338,0.38,0.466,0.847,150
Nellie Fox,Yes,19,49,36.8,42.9,57,75.26315789,2367,9232,1279,2663,35,790,76,719,0.288,0.348,0.363,0.71,93
Nomar Garciaparra,No,14,44.2,43.1,43.7,55.3,79.02350814,1434,5586,927,1747,229,936,95,403,0.313,0.361,0.521,0.882,124
Norm Cash,No,17,52,33.7,42.9,54.2,79.15129151,2089,6705,1045,1820,377,1104,43,1043,0.271,0.374,0.488,0.862,139
Omar Vizquel,No,24,45.6,26.8,36.2,55.3,65.46112116,2968,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82
Orlando Cepeda,Yes,17,50.2,34.6,42.4,54.2,78.22878229,2124,7927,1131,2351,379,1365,142,588,0.297,0.35,0.499,0.849,133
Ossee Schrecongost,No,11,13.2,13.2,13.2,44.2,29.86425339,895,3057,304,829,9,338,52,102,0.271,0.297,0.345,0.642,91
Ossie Bluege,No,18,28.3,19.7,24,55.7,43.08797127,1867,6440,883,1751,43,848,140,723,0.272,0.352,0.356,0.707,85
